Proces	proces	Ncmsn
privatizacije	privatizacija	Ncfsg
na	na	S
Kosovu	Kosovo	Npnsl
pod	pod	S
lupom	lupa	Ncfsi
Kosovo	Kosovo	Npnsn
ozbiljno	ozbiljno	Rgp
analizira	analizirati	Vmr3s
svoje	svoj	Px-mpa
procese	proces	Ncmpa
privatizacije	privatizacija	Ncfsg
u	u	S
svetlu	svetlo	Ncnsl
čestih	čest	Agpfpgy
pritužbi	pritužba	Ncfpg
.	.	Z
		
Bar	bar	Rgp
na	na	S
papiru	papir	Ncmsl
,	,	Z
to	taj	Pd-nsn
izgleda	izgledati	Vmr3s
kao	kao	Cs
odlična	odličan	Agpfsny
ideja	ideja	Ncfsn
.	.	Z
		
Vlada	vlada	Ncfsn
prodaje	prodavati	Vmr3s
preduzeća	preduzeće	Ncnpa
,	,	Z
rešava	rešavati	Vmr3s
se	sebe	Px---a
tereta	teret	Ncmsg
upravljanja	upravljanje	Ncnsg
njima	oni	Pp3-pi
,	,	Z
a	a	Cc
novac	novac	Ncmsn
od	od	S
prodaje	prodaja	Ncfsg
pomaže	pomagati	Vmr3s
u	u	S
finansiranju	finansiranje	Ncnsl
državnog	državni	Agpmsgy
budžeta	budžet	Ncmsg
.	.	Z
		
Ali	ali	Cc
,	,	Z
na	na	S
Kosovu	Kosovo	Npnsl
,	,	Z
kritičari	kritičar	Ncmpn
kažu	kazati	Vmr3p
da	da	Cs
je	biti	Var3s
pravni	pravni	Agpmsny
proces	proces	Ncmsn
vezan	vezati	Appmsnn
za	za	S
privatizaciju	privatizacija	Ncfsa
složen	složiti	Appmsnn
i	i	Cc
politički	politički	Rgp
nabijen	nabijen	Agpmsnn
,	,	Z
što	što	Pi3n-n
će	hteti	Var3s
imati	imati	Vmn
dugoročan	dugoročan	Agpmsann
uticaj	uticaj	Ncmsan
na	na	S
ekonomiju	ekonomija	Ncfsa
.	.	Z
		
Oni	oni	Pp3mpn
kažu	kazati	Vmr3p
da	da	Cs
neki	neki	Pi-mpn
vlasnici	vlasnik	Ncmpn
i	i	Cc
zaposleni	zaposlen	Agpmpny
mogu	moći	Vmr3p
da	da	Cs
koriste	koristiti	Vmr3p
određene	određen	Agpfpay
rupe	rupa	Ncfpa
u	u	S
zakonu	zakon	Ncmsl
,	,	Z
dok	dok	Cs
ostali	ostali	Agpmpny
ne	ne	Qz
dobijaju	dobijati	Vmr3p
gotovo	gotovo	Rgp
ništa	ništa	Pi3n-a
.	.	Z
		
Tu	tu	Rgp
je	biti	Var3s
i	i	Cc
etnička	etnički	Agpfsny
komponenta	komponenta	Ncfsn
,	,	Z
s	sa	S
obzirom	obzir	Ncmsi
da	da	Cs
pojedinci	pojedinac	Ncmpn
iz	iz	S
različitih	različit	Agpfpgy
zajednica	zajednica	Ncfpg
mogu	moći	Vmr3p
da	da	Cs
kažu	kazati	Vmr3p
da	da	Cs
je	biti	Var3s
diskriminacija	diskriminacija	Ncfsn
--	--	Z
bilo	bilo	Cc
sada	sada	Rgp
ili	ili	Cc
ranije	rano	Rgc
--	--	Z
uticala	uticati	Vmp-sf
na	na	S
njihovu	njihov	Ps3fsa
mogućnost	mogućnost	Ncfsa
ostvarivanja	ostvarivanje	Ncnsg
koristi	korist	Ncfsg
od	od	S
privatizacije	privatizacija	Ncfsg
.	.	Z
		
Esat	Esat	Npmsn
Beriša	Beriša	Npmsn
je	biti	Var3s
jedan	jedan	Mlcmsn
takav	takav	Pd-msn
primer	primer	Ncmsn
.	.	Z
		
Moj	moj	Ps1msn
otac	otac	Ncmsn
je	biti	Var3s
radio	raditi	Vmp-sm
u	u	S
Hidrotehnici	Hidrotehnici	Npfsl
,	,	Z
[	[	Z
kao	kao	Cs
i	i	Cc
ja	ja	Pp1-sn
]	]	Z
,	,	Z
do	do	S
decembra	decembar	Ncmsg
1990	1990	Mdo
godine	godina	Ncfsg
,	,	Z
ali	ali	Cc
onda	onda	Rgp
sam	biti	Var1s
ja	ja	Pp1-sn
otpušten	otpustiti	Appmsnn
zato	zato	Cs
što	što	Cs
su	biti	Var3p
nas	mi	Pp1-pa
srpske	srpski	Agpfpny
vlasti	vlast	Ncfpn
otpustile	otpustiti	Vmp-pf
.	.	Z
		
Posle	posle	S
rata	rat	Ncmsg
sam	biti	Var1s
se	sebe	Px---a
nadao	nadati	Vmp-sm
da	da	Cs
ću	hteti	Var1s
dobiti	dobiti	Vmn
svoj	svoj	Px-msan
posao	posao	Ncmsan
nazad	nazad	Rgp
,	,	Z
ali	ali	Cc
to	taj	Pd-nsn
se	sebe	Px---a
nikada	nikada	Rgp
nije	biti	Var3s
dogodilo	dogoditi	Vmp-sn
.	.	Z
		
Nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
Hidrotehnika	Hidrotehnika	Npfsn
privatizovana	privatizovati	Appfsny
2006	2006	Mdo
godine	godina	Ncfsg
,	,	Z
nikada	nikada	Rgp
nisam	biti	Var1s
dobio	dobiti	Vmp-sm
bilo	bilo	Qo
kakvu	kakav	Pi-fsa
nadoknadu	nadoknada	Ncfsa
,	,	Z
a	a	Cc
najgore	zlo	Rgs
je	biti	Var3s
to	taj	Pd-nsn
što	što	Pi3n-n
kompanija	kompanija	Ncfsn
više	mnogo	Rgc
ne	ne	Qz
postoji	postojati	Vmr3s
,	,	Z
jer	jer	Cs
je	biti	Var3s
novi	nov	Agpmsny
vlasnik	vlasnik	Ncmsn
promenio	promeniti	Vmp-sm
njenu	njen	Ps3fsa
namenu	namena	Ncfsa
,	,	Z
rekao	reći	Vmp-sm
je	biti	Var3s
Beriša	Beriša	Npmsn
za	za	S
SETimes	SETimes	Xf
.	.	Z
		
U	u	S
nekim	neki	Pi-mpl
slučajevima	slučaj	Ncmpl
kompanije	kompanija	Ncfpn
su	biti	Var3p
kupovane	kupovati	Appfpny
više	mnogo	Rgc
zbog	zbog	S
zemljišta	zemljište	Ncnsg
nego	nego	Cc
zbog	zbog	S
želje	želja	Ncfsg
da	da	Cs
se	sebe	Px---a
nastavi	nastaviti	Vmr3s
rad	rad	Ncmsan
.	.	Z
		
On	on	Pp3msn
nije	biti	Var3s
usamljen	usamljen	Agpmsnn
:	:	Z
diskriminatorni	diskriminatoran	Agpmsny
zakon	zakon	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
nametnuo	nametnuti	Vmp-sm
Miloševićev	Miloševićev	Aspmsnn
režim	režim	Ncmsn
primorao	primorati	Vmp-sm
je	biti	Var3s
hiljade	hiljada	Ncfpa
Kosovara	Kosovar	Npmpg
da	da	Cs
napuste	napustiti	Vmr3p
svoje	svoj	Px-mpa
poslove	posao	Ncmpa
.	.	Z
		
Osim	osim	S
toga	taj	Pd-nsg
,	,	Z
mnoge	mnogi	Agpfpny
kompanije	kompanija	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
privatizovane	privatizovati	Appfpny
promenile	promeniti	Vmp-pf
su	biti	Var3p
lokaciju	lokacija	Ncfsa
poslovanja	poslovanje	Ncnsg
i	i	Cc
vrlo	vrlo	Rgp
često	često	Rgp
se	sebe	Px---a
zaposleni	zaposlen	Agpmpny
,	,	Z
kao	kao	Cs
što	što	Cs
je	biti	Var3s
Beriša	Beriša	Npmsn
,	,	Z
skidaju	skidati	Vmr3p
sa	sa	S
platnog	platni	Agpmsgy
spiska	spisk	Ncmsg
,	,	Z
što	što	Pi3n-n
dovodi	dovoditi	Vmr3s
do	do	S
čestih	čest	Agpmpgy
protesta	protest	Ncmpg
ispred	ispred	S
Agencije	agencija	Ncfsg
za	za	S
privatizaciju	privatizacija	Ncfsa
.	.	Z
		
Dardan	Dardan	Npmsn
Sejdiu	Sejdiu	Npmsn
,	,	Z
ekonomski	ekonomski	Agpmsny
ekspert	ekspert	Ncmsn
iz	iz	S
pokreta	pokret	Ncmsg
Vetvendosje	Vetvendosje	Npmsn
,	,	Z
veliki	velik	Agpmsny
je	biti	Var3s
kritičar	kritičar	Ncmsn
toga	taj	Pd-nsg
.	.	Z
		
Deceniju	decenija	Ncfsa
kasnije	kasno	Rgc
vidimo	videti	Vmr1p
da	da	Cs
je	biti	Var3s
ekonomija	ekonomija	Ncfsn
užasno	užasno	Rgp
nestrukturirana	nestrukturiran	Agpfsny
.	.	Z
		
Većina	većina	Ncfsn
proizvodnih	proizvodni	Agpfpgy
kompanija	kompanija	Ncfpg
više	mnogo	Rgc
ne	ne	Qz
postoji	postojati	Vmr3s
ili	ili	Cc
se	sebe	Px---a
koriste	koristiti	Vmr3p
za	za	S
skladištenje	skladištenje	Ncnsa
robe	roba	Ncfsg
;	;	Z
efikasnost	efikasnost	Ncfsn
kao	kao	Cs
koncept	koncept	Ncmsn
su	biti	Var3p
,	,	Z
čini	činiti	Vmr3s
se	sebe	Px---a
,	,	Z
bile	biti	Vap-pf
samo	samo	Rgp
reči	reč	Ncfpn
,	,	Z
a	a	Cc
nezaposlenost	nezaposlenost	Ncfsn
se	sebe	Px---a
produbljuje	produbljivati	Vmr3s
.	.	Z
		
Na	na	S
kraju	kraj	Ncmsl
je	biti	Var3s
i	i	Cc
broj	broj	Ncmsn
stranih	stran	Agpmpgy
investitora	investitor	Ncmpg
samo	samo	Rgp
simboličan	simboličan	Agpmsnn
,	,	Z
a	a	Cc
i	i	Cc
suma	suma	Ncfsn
koju	koji	Pi-fsa
su	biti	Var3p
uložili	uložiti	Vmp-pm
je	biti	Var3s
simbolična	simboličan	Agpfsny
,	,	Z
rekao	reći	Vmp-sm
je	biti	Var3s
Sejdiu	Sejdiu	Npmsn
za	za	S
SETimes	SETimes	Xf
.	.	Z
		
Privatizacija	privatizacija	Ncfsn
javnih	javan	Agpfpgy
i	i	Cc
državnih	državni	Agpfpgy
kompanija	kompanija	Ncfpg
poslednjih	poslednji	Agpfpgy
godina	godina	Ncfpg
donela	doneti	Vmp-sf
je	biti	Var3s
više	mnogo	Rgc
od	od	S
600	600	Mdc
miliona	milion	Ncmpg
evra	evro	Ncmpg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
prebačeni	prebaciti	Appmpny
u	u	S
banke	banka	Ncfpa
u	u	S
inostranstvu	inostranstvo	Ncnsl
,	,	Z
a	a	Cc
kosovska	kosovski	Agpfsny
vlada	vlada	Ncfsn
ne	ne	Qz
koristi	koristiti	Vmr3s
ta	taj	Pd-npa
sredstva	sredstvo	Ncnpa
.	.	Z
		
Sejdiu	Sejdiu	Npmsn
kaže	kazati	Vmr3s
da	da	Cs
je	biti	Var3s
to	taj	Pd-nsn
premalo	premalo	Rgp
i	i	Cc
da	da	Cs
su	biti	Var3p
zemlje	zemlja	Ncfpn
u	u	S
