pa	pa	Cc
sam	biti	Var1s
mu	on	Pp3msd
pričAla	pričati	Vmp-sf
lazarIčke	lazarički	Agpfpa
pEsme	pesma	Ncfpa
jA	ja	Pp1-sn
sam	biti	Var1s
išlA	ići	Vmp-sf
u	u	S
lAazaricu	lazarica	Ncfsa
.	.	Z
		
aaa	a	I
.	.	Z
		
ii	i	Cc
On	on	Pp3msn
je	biti	Var3s
svE	sav	Pi-nsa
napisAl	napisati	Vmp-sm
.	.	Z
		
ee	e	I
i	i	Cc
tO	taj	Pd-nsn
me	ja	Pp1-sa
zanIma	zanimati	Vmr3s
svE	sav	Pi-nsn
.	.	Z
		
pa	pa	Cc
sam	biti	Var1s
pIisma	pismo	Ncnpa
imAla	imati	Vmp-sf
•	•	Z
mUž	muž	Ncmsn
mi	ja	Pp1-sd
je	biti	Var3s
bIl	biti	Vcp-sm
po	po	S
pečAlbu	pečalba	Ncfsa
.	.	Z
		
pa	pa	Cc
mi	ja	Pp1-sd
je	biti	Var3s
pračuvAl	pračuvati	Vmp-sm
pIsma	pismo	Ncnpa
nE	biti	Var3s
imAlo	imati	Vmp-sn
telefOni	telefon	Ncmpa
nE	biti	Var3s
imAlo	imati	Vmp-sn
nIšta	ništa	Pi3n-n
.	.	Z
		
ee	e	I
i	i	Cc
tO	taj	Pd-nsn
ćemo	hteti	Var1p
svE	sav	Pi-nsn
sAd	sad	Rgp
.	.	Z
		
paa	pa	Cc
sam	biti	Var1s
ə	ə	X
mu	on	Pp3msd
•	•	Z
i	i	Cc
pIsma	pismo	Ncnpa
tA	taj	Pd-npa
•	•	Z
čitAla	čitati	Vmp-sf
On	on	Pp3msn
mi	ja	Pp1-sd
pIše	pisati	Vmr3s
((Laughs))	((laughs))	X
.	.	Z
		
pa	pa	Cc
trIsta	trista	Mlc
čUda	čudo	Ncnpg
bilO	biti	Vcp-sn
•	•	Z
ali	ali	Cc
sA	sad	Rgp
vEč	več	Rgp
•	•	Z
sam	biti	Var1s
se	sebe	Px---a
zaboravIla	zaboraviti	Vmp-sf
.	.	Z
		
sAd	sad	Rgp
•	•	Z
•	•	Z
sAd	sad	Rgp
pAmtim	pamtiti	Vmr1s
.	.	Z
		
a	a	Cc
pa	pa	Cc
vI	vi	Pp2-pn
•	•	Z
kOlko	kolko	Rgp
se	sebe	Px---a
sEtite	setiti	Vmr2p
.	.	Z
		
((ššš))	((ššš))	X
devOjku	devojka	Ncfsa
vIdiš	videti	Vmr2s
da	da	Cs
e	biti	Var3s
((ššš))	((ššš))	X
.	.	Z
		
iz	iz	S
detInjstvo	detinjstvo	Ncnsa
svE	sav	Pi-nsn
kvO	kvo	Pi3n-n
e	biti	Var3s
bilO	biti	Vcp-sn
.	.	Z
		
a	a	Cc
.	.	Z
		
jučEr	jučer	Rgp
štO	što	Pi3n-n
je	biti	Var3s
bilO	biti	Vcp-sn
jA	ja	Pp1-sn
zaborAvim	zaboraviti	Vmr1s
.	.	Z
		
e	e	I
a	a	Cc
mEni	ja	Pp1-sd
trEba	trebati	Vmr3s
tO	taj	Pd-nsn
što	što	Pi3n-n
u	u	S
•	•	Z
iz	iz	S
detInjstvo	detinjstvo	Ncnsa
to	taj	Pd-nsn
e	biti	Vcr3s
to	taj	Pd-nsn
je	biti	Vcr3s
.	.	Z
		
a	a	Cc
a	a	Cc
starInsko	starinski	Agpnsay
•	•	Z
svE	sav	Pi-nsa
pAmtim	pamtiti	Vmr1s
•	•	Z
svE	sav	Pi-nsa
znAm	znati	Vmr1s
.	.	Z
		
Ubavo	ubavo	Rgp
((laughing))	((laughing))	X
.	.	Z
		
pa	pa	Cc
doodI	dooditi	Vmr3s
jEdna	jedan	Mlcfsn
karolIna	Karolina	Npfsn
odAvde	odavde	Rgp
•	•	Z
tO	taj	Pd-nsn
mi	ja	Pp1-sd
vodI	voditi	Vmr3s
pri	pri	S
mEne	ja	Pp1-sa
i	i	Cc
pri	pri	S
zOru	Zora	Npfsa
.	.	Z
		
a	a	Cc
kIka	Kika	Npfsn
kirolIna	Karolina	Npfsn
dOle	dole	Rgp
•	•	Z
mI	ja	Pp1-pn
spAvamo	spavati	Vmr1p
kod	kod	S
kIku	Kika	Npfsa
.	.	Z
		
kIka	Kika	Npfsa
((Shouts))	((shouts)	X
ee	e	I
pa	pa	Cc
kIika	Kika	Npfsa
doodI	dooditi	Vmr3s
pa	pa	Cc
gi	on	Pp3msa
vodI	voditi	Vmr3s
vodI	voditi	Vmr3s
me	ja	Pp1-sa
vodI	voditi	Vmr3s
u	ona	Pp3fsa
jA	ja	Pp1-sn
kod	kod	S
zOru	Zora	Npfsa
.	.	Z
		
pa	pa	Cc
pričAmo	pričati	Vmr1p
gorE	gore	Rgp
Ona	ona	Pp3fsn
mIslim	misliti	Vmr1s
nAsmejamo	nasmejati	Vmr1p
se	sebe	Px---a
•	•	Z
Idemo	ići	Vmr1p
.	.	Z
		
tamO	tamo	Rgp
onA	ona	Pp3fsn
ispitUje	ispitivati	Vmr3s
kakO	kako	Rgp
s/	s/	X
səs	səs	S
mUži	muž	Ncmpa
ste	biti	Var2p
živIli	živeti	Vmp-pm
pa	pa	Cc
.	.	Z
		
živIli	živeti	Vmp-pm
smo	biti	Var1p
•	•	Z
onI	oni	Pp3mpn
na	na	S
pečAlbu	pečalba	Ncfsa
mi	mi	Pp1-pn
dOm	dom	Ncmsa
((Laughs))	((laughs))	X
.	.	Z
		
mOra	morati	Vmr3s
da	da	Cs
živImo	živeti	Vmr1p
.	.	Z
		
jEste	biti	Vcr3s
sAmo	samo	Rgp
da	da	Cs
jA	ja	Pp1-sn
vIdim	videti	Vmr1s
da	da	Cs
pOdmetnem	podmetnuti	Vmr1s
nEšto	nešto	Pi3n-a
da	da	Cs
mi	ja	Pp1-sd
.	.	Z
		
drAgice	Dragica	Npfsv
tI	ti	Pp2-sv
skUvaj	skuvati	Vmm2s
kAfu	kafa	Ncfsa
.	.	Z
		
nEmojte	moći	Vmm2p
•	•	Z
•	•	Z
mOlim	moliti	Vmr1s
vas	vi	Pp2-pa
.	.	Z
		
nEmojte	moći	Vmm2p
nEmojte	moći	Vmm2p
sAd	sad	Rgp
smo	biti	Var1p
pIli	piti	Vmp-pm
dOle	dole	Rgp
i	i	Cc
kAfu	kafa	Ncfsa
i	i	Cc
svE	sav	Pi-nsa
.	.	Z
		
a	a	Cc
dE	gde	Rgp
ste	biti	Var2p
bilI	biti	Vcp-pm
.	.	Z
		
((ə))	((ə))	X
kod	kod	S
kIku	Kika	Npfsa
smo	biti	Var1p
smEšteni	smestiti	Appmpny
pa	pa	Cc
kod	kod	S
njE	ona	Pp3fsg
jEdemo	jesti	Vmr1p
•	•	Z
spAvamo	spavati	Vmr1p
.	.	Z
		
a	a	Cc
kod	kod	S
kIku	Kika	Npfsa
.	.	Z
		
mhm	mhm	Qr
hm	hm	I
dOobro	dobro	Rgp
•	•	Z
kIka	Kika	Npfsn
doOdi	dooditi	Vmr3s
onA	ona	Pp3fsn
je	biti	Vcr3s
nAša	naš	Ps1fsn
.	.	Z
		
prijatEljica	prijateljica	Ncfsn
.	.	Z
		
ii	i	Cc
.	.	Z
		
iz	iz	S
gorčInci	Gorčinci	Npmpa
znAm	znati	Vmr1s
.	.	Z
		
jEste	biti	Vcr3s
•	•	Z
•	•	Z
pa	pa	Cc
rad/	rad/	X
əəə	əəə	X
radEli	raditi	Vmp-pm
smo	biti	Var1p
mI	mi	Pp1-pn
dOle	dole	Rgp
•	•	Z
gorčInci	Gorčinci	Npmpa
ə	ə	X
.	.	Z
		
jUče	juče	Rgp
smoo	biti	Var1p
•	•	Z
bIli	biti	Vmp-pm
u	u	S
stre/	stre/	X
strElac	Strelac	Npmsa
•	•	Z
gOre	gore	Rgp
i	i	Cc
tAko	tako	Rgp
.	.	Z
		
a	a	Cc
dolAzi	dolaziti	Vmr3s
jEdna	jedan	Mlcfsn
jAsmina	Jasmina	Npfsn
te	te	Cc
mi	ja	Pp1-sd
mEri	meriti	Vmr3s
prItisak	pritisak	Ncmsan
.	.	Z
		
ali	ali	Cc
sAd	sad	Rgp
u	u	S
jUnu	jun	Ncmsl
•	•	Z
do	do	S
četvRtka	četvrtak	Ncmsg
.	.	Z
		
((NT))	((nt))	X
.	.	Z
		
jA	ja	Pp1-sn
səm	biti	Var1s
samA	sam	Agpfsn
bilA	biti	Vcp-sf
godžA	godža	Rgp
gOdine	godina	Ncfpa
pa	pa	Cc
sAd	sad	Rgp
dojdOše	doći	Vma3p
ovIa	ovia	Pd-mpn
moI	moj	Ps1mpn
•	•	Z
•	•	Z
iz	iz	S
nIš	Niš	Npmsa
.	.	Z
		
da	da	Cs
nesəm	biti	Vcr1sn
samA	sam	Agpfsn
•	•	Z
inAče	inače	Rgp
samA	sam	Agpfsn
